,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Selling,Research & Development,Interest Expense, Net Pretax Income (Loss),Pretax Income (Loss),Income Tax (Expense) Benefit,Net Income
67,AAPL,111052,USD,2023,FY,2023-09-30,2023-11-03,2024-11-01,15744231000.0,15812547000.0,383285000000.0,-214137000000.0,169148000000.0,-54847000000.0,-24932000000.0,,113736000000.0,,-16741000000.0,96995000000.0,96995000000.0
1128,ABBV,61199,USD,2019,FY,2019-12-31,2020-02-21,2022-02-18,1481000000.0,1484000000.0,33266000000.0,-7439000000.0,25827000000.0,-12459000000.0,-6942000000.0,,8811000000.0,-385000000.0,-544000000.0,7882000000.0,7882000000.0
1129,ABBV,61199,USD,2020,FY,2020-12-31,2021-02-19,2023-02-17,1667000000.0,1673000000.0,45804000000.0,-15387000000.0,30417000000.0,-17678000000.0,-11299000000.0,,4774000000.0,-1376000000.0,1224000000.0,4622000000.0,4616000000.0
1130,ABBV,61199,USD,2021,FY,2021-12-31,2022-02-18,2024-02-20,1767880465.0,1778000000.0,56197000000.0,-17446000000.0,38751000000.0,-19703000000.0,-12349000000.0,,14113000000.0,-1124000000.0,-1440000000.0,11549000000.0,11542000000.0
1131,ABBV,61199,USD,2022,FY,2022-12-31,2023-02-17,2024-02-20,1771000000.0,1778000000.0,58054000000.0,-17414000000.0,40640000000.0,-21826000000.0,-15260000000.0,,14174000000.0,-697000000.0,-1632000000.0,11845000000.0,11836000000.0
1132,ABBV,61199,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,1768000000.0,1773000000.0,54318000000.0,-20415000000.0,33903000000.0,-20368000000.0,-12872000000.0,,7028000000.0,-778000000.0,-1377000000.0,4873000000.0,4863000000.0
1536,ABNB,1214552,USD,2019,FY,2019-12-31,2020-02-26,2022-02-25,262509000.0,262509000.0,4805239000.0,-1196313000.0,3608926000.0,-4110469000.0,-2318700000.0,,-411703000.0,,-262636000.0,-674339000.0,-674339000.0
1537,ABNB,1214552,USD,2020,FY,2020-12-31,2021-02-26,2023-02-17,601021000.0,601021000.0,3378000000.0,-876000000.0,2502000000.0,-5941000000.0,-2310000000.0,,-4531000000.0,-151000000.0,97000000.0,-4585000000.0,-4585000000.0
1538,ABNB,1214552,USD,2021,FY,2021-12-31,2022-02-25,2024-02-16,621012000.0,681916000.0,5992000000.0,-1156000000.0,4836000000.0,-4294000000.0,-2022000000.0,,-187000000.0,-113000000.0,-52000000.0,-352000000.0,-352000000.0
1539,ABNB,1214552,USD,2022,FY,2022-12-31,2023-02-17,2024-02-16,615891000.0,615891000.0,8399000000.0,-1499000000.0,6900000000.0,-5009000000.0,-2466000000.0,,2078000000.0,-89000000.0,-96000000.0,1893000000.0,1893000000.0
1540,ABNB,1214552,USD,2023,FY,2023-12-31,2024-02-16,2024-02-16,635000000.0,665000000.0,9917000000.0,-1703000000.0,8214000000.0,-6696000000.0,-3788000000.0,,2102000000.0,,2690000000.0,4792000000.0,4792000000.0
9,ABT,63877,USD,2019,FY,2019-12-31,2020-02-21,2022-02-18,1768000000.0,1781000000.0,31904000000.0,-13231000000.0,18673000000.0,-14141000000.0,-9765000000.0,-1936000000.0,4140000000.0,-63000000.0,-390000000.0,3687000000.0,3687000000.0
10,ABT,63877,USD,2020,FY,2020-12-31,2021-02-19,2023-02-17,1773000000.0,1786000000.0,34608000000.0,-15003000000.0,19605000000.0,-14248000000.0,-9696000000.0,-2132000000.0,4968000000.0,,-497000000.0,4471000000.0,4495000000.0
11,ABT,63877,USD,2021,FY,2021-12-31,2022-02-18,2024-02-16,1768286969.0,1782000000.0,43075000000.0,-18537000000.0,24538000000.0,-16113000000.0,-11324000000.0,-2047000000.0,8211000000.0,,-1140000000.0,7071000000.0,7071000000.0
12,ABT,63877,USD,2022,FY,2022-12-31,2023-02-17,2024-02-16,1771230274.0,1786000000.0,43653000000.0,-19142000000.0,24511000000.0,-16149000000.0,-11248000000.0,-2013000000.0,8306000000.0,,-1373000000.0,6933000000.0,6933000000.0
13,ABT,63877,USD,2023,FY,2023-12-31,2024-02-16,2024-02-16,1740000000.0,1749000000.0,40109000000.0,-17975000000.0,22134000000.0,-15656000000.0,-10949000000.0,-1966000000.0,6664000000.0,,-941000000.0,5723000000.0,5723000000.0
1854,ACN,61372,USD,2019,FY,2019-08-31,2019-10-29,2021-10-15,638098125.0,650204873.0,43215013000.0,-29900325000.0,13314688000.0,-7009614000.0,-7009614000.0,,6251797000.0,,-1405556000.0,4846241000.0,4779112000.0
1855,ACN,61372,USD,2020,FY,2020-08-31,2020-10-22,2022-10-12,636299913.0,647797003.0,44327039000.0,-30350881000.0,13976158000.0,-7462514000.0,-7462514000.0,,6774331000.0,,-1589018000.0,5185313000.0,5107839000.0
1856,ACN,61372,USD,2021,FY,2021-08-31,2021-10-15,2023-10-12,634745073.0,645909042.0,50533389000.0,-34169261000.0,16364128000.0,-8742599000.0,-8742599000.0,,7761116000.0,,-1770571000.0,5990545000.0,5906809000.0
1857,ACN,61372,USD,2022,FY,2022-08-31,2022-10-12,2024-10-10,632762710.0,642839181.0,61594305000.0,-41892766000.0,19701539000.0,-10334358000.0,-10334358000.0,,9292461000.0,-96294000.0,-2207207000.0,6988960000.0,6877169000.0
1858,ACN,61372,USD,2023,FY,2023-08-31,2023-10-12,2024-10-10,630608186.0,638591616.0,64111745000.0,-43380138000.0,20731607000.0,-10858572000.0,-10858572000.0,,10202478000.0,-1063146000.0,-2135802000.0,7003530000.0,6871557000.0
1021,ADBE,14099,USD,2019,FY,2019-11-30,2019-12-21,2022-01-21,486291000.0,491572000.0,11171000000.0,-1673000000.0,9498000000.0,-6230000000.0,-4125000000.0,-175000000.0,3205000000.0,,-254000000.0,2951000000.0,2951000000.0
1022,ADBE,14099,USD,2020,FY,2020-11-30,2021-01-15,2023-01-17,481000000.0,485000000.0,12868000000.0,-1722000000.0,11146000000.0,-6909000000.0,-4559000000.0,-162000000.0,4163000000.0,13000000.0,1084000000.0,5260000000.0,5260000000.0
1023,ADBE,14099,USD,2021,FY,2021-11-30,2022-01-21,2024-01-17,477000000.0,481000000.0,15785000000.0,-1865000000.0,13920000000.0,-8118000000.0,-5406000000.0,-172000000.0,5689000000.0,16000000.0,-883000000.0,4822000000.0,4822000000.0
1024,ADBE,14099,USD,2022,FY,2022-11-30,2023-01-17,2025-01-13,470000000.0,471000000.0,17606000000.0,-2165000000.0,15441000000.0,-9343000000.0,-6187000000.0,-169000000.0,6027000000.0,-19000000.0,-1252000000.0,4756000000.0,4756000000.0
1025,ADBE,14099,USD,2023,FY,2023-11-30,2024-01-17,2025-01-13,457000000.0,459000000.0,19409000000.0,-2354000000.0,17055000000.0,-10405000000.0,-6764000000.0,-168000000.0,6783000000.0,16000000.0,-1371000000.0,5428000000.0,5428000000.0
53,ADI,65917,USD,2019,FY,2019-10-31,2019-11-26,2021-12-03,369133000.0,372871000.0,5991065000.0,-1977315000.0,4013750000.0,-2207483000.0,-648094000.0,-429041000.0,1581387000.0,-95659000.0,-122717000.0,1363011000.0,1363011000.0
54,ADI,65917,USD,2020,FY,2020-10-31,2020-11-24,2022-11-22,368633000.0,371973000.0,5603056000.0,-1912578000.0,3690478000.0,-2139897000.0,-659923000.0,-429455000.0,1363954000.0,-52337000.0,-90856000.0,1220761000.0,1220761000.0
55,ADI,65917,USD,2021,FY,2021-10-31,2021-12-03,2023-11-21,368476000.0,371849000.0,7318286000.0,-2793274000.0,4525012000.0,-2748355000.0,-915418000.0,-536811000.0,1628320000.0,-299606000.0,61708000.0,1390422000.0,1390422000.0
56,ADI,65917,USD,2022,FY,2022-10-31,2022-11-22,2024-11-26,519226000.0,523178000.0,12013953000.0,-4481479000.0,7532474000.0,-3979265000.0,-1266175000.0,-1012572000.0,3373258000.0,-274509000.0,-350188000.0,2748561000.0,2748561000.0
57,ADI,65917,USD,2023,FY,2023-10-31,2023-11-21,2024-11-26,502232000.0,505959000.0,12305539000.0,-4428321000.0,7877218000.0,-3893396000.0,-1273584000.0,-959618000.0,3768713000.0,-160710000.0,-293424000.0,3314579000.0,3314579000.0
73,ADM,66997,USD,2019,FY,2019-12-31,2020-02-18,2022-02-17,563000000.0,565000000.0,64656000000.0,-60509000000.0,4147000000.0,-2493000000.0,-2493000000.0,,1891000000.0,-303000000.0,-209000000.0,1379000000.0,1379000000.0
74,ADM,66997,USD,2020,FY,2020-12-31,2021-02-18,2023-02-14,561000000.0,563000000.0,64355000000.0,-59902000000.0,4453000000.0,-2687000000.0,-2687000000.0,,2372000000.0,-489000000.0,-101000000.0,1782000000.0,1772000000.0
75,ADM,66997,USD,2021,FY,2021-12-31,2022-02-17,2024-03-12,559551590.0,566000000.0,85249000000.0,-79262000000.0,5987000000.0,-2994000000.0,-2994000000.0,,3513000000.0,-200000000.0,-578000000.0,2735000000.0,2709000000.0
76,ADM,66997,USD,2022,FY,2022-12-31,2023-02-14,2024-03-12,556000000.0,563000000.0,101556000000.0,-93986000000.0,7570000000.0,-3358000000.0,-3358000000.0,,5299000000.0,-66000000.0,-868000000.0,4365000000.0,4340000000.0
77,ADM,66997,USD,2023,FY,2023-12-31,2024-03-12,2024-03-12,541000000.0,542000000.0,93935000000.0,-86422000000.0,7513000000.0,-3456000000.0,-3456000000.0,,4636000000.0,-342000000.0,-828000000.0,3466000000.0,3483000000.0
83,ADP,591496,USD,2019,FY,2019-06-30,2019-08-09,2021-08-04,435000000.0,437600000.0,14110200000.0,-8021600000.0,6088600000.0,-3064200000.0,-3064200000.0,,3005600000.0,,-712800000.0,2292800000.0,2292800000.0
84,ADP,591496,USD,2020,FY,2020-06-30,2020-08-05,2022-08-03,430800000.0,432700000.0,14589800000.0,-8445100000.0,6144700000.0,-3003000000.0,-3003000000.0,,3182600000.0,,-716100000.0,2466500000.0,2466500000.0
85,ADP,591496,USD,2021,FY,2021-06-30,2021-08-04,2023-08-03,427300000.0,428900000.0,15005400000.0,-8640300000.0,6365100000.0,-3040500000.0,-3040500000.0,,3361200000.0,,-762700000.0,2598500000.0,2598500000.0
86,ADP,591496,USD,2022,FY,2022-06-30,2022-08-03,2024-08-07,418800000.0,421100000.0,16498300000.0,-8252600000.0,8245700000.0,-4442500000.0,-3233200000.0,-410700000.0,3804100000.0,,-855200000.0,2948900000.0,2948900000.0
87,ADP,591496,USD,2023,FY,2023-06-30,2023-08-03,2024-08-07,413700000.0,415700000.0,18012200000.0,-8657400000.0,9354800000.0,-4847400000.0,-3551400000.0,-451200000.0,4437600000.0,,-1025600000.0,3412000000.0,3412000000.0
78,ADSK,185035,USD,2019,FY,2020-01-31,2020-03-19,2022-03-14,219700000.0,222500000.0,3274300000.0,-324900000.0,2949400000.0,-2605900000.0,-1715900000.0,-38900000.0,295300000.0,-500000.0,-80300000.0,214500000.0,214500000.0
79,ADSK,185035,USD,2020,FY,2021-01-31,2021-03-19,2023-03-14,219400000.0,222100000.0,3790000000.0,-337000000.0,3453000000.0,-2824000000.0,-1854000000.0,-38000000.0,547000000.0,,661000000.0,1208000000.0,1208000000.0
80,ADSK,185035,USD,2021,FY,2022-01-31,2022-03-14,2024-06-10,220000000.0,222500000.0,4386000000.0,-418000000.0,3968000000.0,-3350000000.0,-2195000000.0,-40000000.0,565000000.0,,-68000000.0,497000000.0,497000000.0
81,ADSK,185035,USD,2022,FY,2023-01-31,2023-03-14,2024-06-10,216000000.0,218000000.0,5005000000.0,-480000000.0,4525000000.0,-3536000000.0,-2277000000.0,-40000000.0,946000000.0,,-123000000.0,823000000.0,823000000.0
82,ADSK,185035,USD,2023,FY,2024-01-31,2024-03-12,2024-06-10,214000000.0,216000000.0,5497000000.0,-511000000.0,4986000000.0,-3858000000.0,-2443000000.0,-42000000.0,1136000000.0,,-230000000.0,906000000.0,906000000.0
899,AEE,68703,USD,2019,FY,2019-12-31,2020-02-28,2022-02-23,245600000.0,247100000.0,5910000000.0,-1422000000.0,4488000000.0,-3221000000.0,,-995000000.0,1016000000.0,,-182000000.0,834000000.0,828000000.0
900,AEE,68703,USD,2020,FY,2020-12-31,2021-02-22,2023-02-22,247000000.0,248700000.0,5794000000.0,-1275000000.0,4519000000.0,-3219000000.0,,-1075000000.0,1032000000.0,,-155000000.0,877000000.0,871000000.0
901,AEE,68703,USD,2021,FY,2021-12-31,2022-02-23,2024-02-29,257300000.0,258600000.0,6394000000.0,-1629000000.0,4765000000.0,-3432000000.0,,-1146000000.0,1152000000.0,,-157000000.0,995000000.0,990000000.0
902,AEE,68703,USD,2022,FY,2022-12-31,2023-02-22,2024-02-29,258400000.0,259500000.0,7957000000.0,-2677000000.0,5280000000.0,-3765000000.0,,-1289000000.0,1255000000.0,,-176000000.0,1079000000.0,1074000000.0
903,AEE,68703,USD,2023,FY,2023-12-31,2024-02-29,2024-02-29,262800000.0,263400000.0,7500000000.0,-2167000000.0,5333000000.0,-3775000000.0,,-1387000000.0,1340000000.0,,-183000000.0,1157000000.0,1152000000.0
38,AEP,66050,USD,2019,FY,2019-12-31,2020-02-20,2022-02-24,493694345.0,495306238.0,15561400000.0,-5106100000.0,10455300000.0,-7706600000.0,,-2514500000.0,1702800000.0,132000000.0,12900000.0,1919800000.0,1921100000.0
39,AEP,66050,USD,2020,FY,2020-12-31,2021-02-25,2023-02-23,495718223.0,497226867.0,14918500000.0,-4369700000.0,10548800000.0,-7561100000.0,,-2682800000.0,1879000000.0,267100000.0,-40500000.0,2196700000.0,2200100000.0
40,AEP,66050,USD,2021,FY,2021-12-31,2022-02-24,2024-02-26,501233680.0,502606836.0,16792000000.0,-5466300000.0,11325700000.0,-7902800000.0,,-2825700000.0,2265200000.0,246700000.0,-115500000.0,2488100000.0,2488100000.0
41,AEP,66050,USD,2022,FY,2022-12-31,2023-02-23,2024-02-26,511841946.0,513484609.0,19639500000.0,-7097900000.0,12541600000.0,-8763100000.0,37000000.0,-3202800000.0,2394000000.0,26400000.0,-5400000.0,2305600000.0,2307200000.0
42,AEP,66050,USD,2023,FY,2023-12-31,2024-02-26,2024-02-26,518903682.0,520206258.0,18982300000.0,-6578300000.0,12404000000.0,-8669500000.0,,-3090400000.0,1991000000.0,217700000.0,-54600000.0,2212600000.0,2208100000.0
1225,AES,62329,USD,2019,FY,2019-12-31,2020-02-28,2022-02-28,664000000.0,667000000.0,10189000000.0,-7840000000.0,2349000000.0,-196000000.0,-196000000.0,,1327000000.0,-326000000.0,-352000000.0,477000000.0,304000000.0
1226,AES,62329,USD,2020,FY,2020-12-31,2021-02-25,2023-03-01,665000000.0,668000000.0,9660000000.0,-6967000000.0,2693000000.0,-165000000.0,-165000000.0,,1633000000.0,-1145000000.0,-216000000.0,149000000.0,46000000.0
1227,AES,62329,USD,2021,FY,2021-12-31,2022-02-28,2024-02-26,659615385.0,710000000.0,11141000000.0,-8430000000.0,2711000000.0,-166000000.0,-166000000.0,,2272000000.0,-3336000000.0,133000000.0,-955000000.0,-408980000.0
1228,AES,62329,USD,2022,FY,2022-12-31,2023-03-01,2024-02-26,657142857.0,668000000.0,12617000000.0,-10069000000.0,2548000000.0,-207000000.0,-207000000.0,,1395000000.0,-1564000000.0,-265000000.0,-505000000.0,-546000000.0
1229,AES,62329,USD,2023,FY,2023-12-31,2024-02-26,2024-02-26,669000000.0,712000000.0,12668000000.0,-10164000000.0,2504000000.0,-255000000.0,-255000000.0,,1112000000.0,-1008000000.0,-261000000.0,-189000000.0,249020000.0
367,AJG,66898,USD,2019,FY,2019-12-31,2020-02-07,2022-02-18,186000000.0,186000000.0,7056400000.0,-1352800000.0,5703600000.0,-4882400000.0,-4408000000.0,-474400000.0,641400000.0,-15300000.0,89700000.0,715800000.0,668800000.0
368,AJG,66898,USD,2020,FY,2020-12-31,2021-02-08,2023-02-10,191000000.0,191000000.0,7003600000.0,-1033800000.0,5969800000.0,-4935400000.0,-4373000000.0,-562400000.0,838000000.0,32900000.0,-12800000.0,858100000.0,818800000.0
369,AJG,66898,USD,2021,FY,2021-12-31,2022-02-18,2024-02-09,207797000.0,212864000.0,8209400000.0,-1173200000.0,7036200000.0,-5699200000.0,,-566300000.0,1110900000.0,-135800000.0,-20100000.0,955000000.0,906800000.0
370,AJG,66898,USD,2022,FY,2022-12-31,2023-02-10,2024-02-09,202681000.0,207346000.0,8550600000.0,-22900000.0,8527700000.0,-6860800000.0,,-599600000.0,1410000000.0,-83000000.0,-211000000.0,1116000000.0,1114200000.0
371,AJG,66898,USD,2023,FY,2023-12-31,2024-02-09,2024-02-09,214900000.0,214900000.0,10071900000.0,,,-8212800000.0,,-696500000.0,1562400000.0,-377300000.0,-219100000.0,966000000.0,969500000.0
1759,AKAM,69211,USD,2019,FY,2019-12-31,2020-02-28,2022-02-28,162706000.0,164573000.0,2893617000.0,-987624000.0,1905993000.0,-1339922000.0,-1039976000.0,-38581000.0,548538000.0,-17153000.0,-53350000.0,478035000.0,478035000.0
1760,AKAM,69211,USD,2020,FY,2020-12-31,2021-02-26,2023-02-28,162490000.0,165213000.0,3198149000.0,-1132672000.0,2065477000.0,-1369657000.0,-1058293000.0,-42049000.0,653368000.0,-37286000.0,-45922000.0,557054000.0,557054000.0
1761,AKAM,69211,USD,2021,FY,2021-12-31,2022-02-28,2024-02-28,161757000.0,164947000.0,3461223000.0,-1268956000.0,2192267000.0,-1398382000.0,-1014991000.0,-48019000.0,738958000.0,-24745000.0,-62571000.0,651642000.0,651642000.0
1762,AKAM,69211,USD,2022,FY,2022-12-31,2023-02-28,2024-02-28,159089000.0,160467000.0,3616654000.0,-1383819000.0,2232835000.0,-1543032000.0,-1086615000.0,-64983000.0,671532000.0,-21164000.0,-126696000.0,523672000.0,523672000.0
1763,AKAM,69211,USD,2023,FY,2023-12-31,2024-02-28,2024-02-28,152510000.0,155397000.0,3811920000.0,-1511063000.0,2300857000.0,-1606876000.0,-1134077000.0,-66751000.0,709170000.0,-55168000.0,-106373000.0,547629000.0,547629000.0
1431,ALB,132877,USD,2019,FY,2019-12-31,2020-02-26,2022-02-22,105949000.0,106321000.0,3589427000.0,-2331649000.0,1257778000.0,-591655000.0,-533368000.0,,562950000.0,,-88161000.0,604357000.0,533228000.0
1432,ALB,132877,USD,2020,FY,2020-12-31,2021-02-19,2023-04-21,106402000.0,106808000.0,459448080.0,-190246911.0,269201169.0,-14123531.0,-14123531.0,,322174104.0,0.0,-96662836.0,225511268.0,224697107.0
1433,ALB,132877,USD,2021,FY,2021-12-31,2022-02-22,2024-02-15,116965000.0,116965000.0,3327957000.0,-2329986000.0,997971000.0,-495508000.0,-441482000.0,,-162353000.0,295971000.0,-29446000.0,199942000.0,123672000.0
1434,ALB,132877,USD,2022,FY,2022-12-31,2023-02-15,2024-02-15,117120000.0,117793000.0,7320104000.0,-4245517000.0,3074587000.0,-596126000.0,-524145000.0,,2441844000.0,-8400000.0,-390588000.0,2815131000.0,2689816000.0
1435,ALB,132877,USD,2023,FY,2023-12-31,2024-02-15,2024-02-15,117317000.0,117766000.0,9617203000.0,-8431294000.0,1185909000.0,-1005218000.0,-919493000.0,,175548000.0,71190000.0,-430277000.0,1670543000.0,1573476000.0
1834,ALGN,445691,USD,2019,FY,2019-12-31,2020-02-28,2022-02-25,79424000.0,80100000.0,2406796000.0,-662899000.0,1743897000.0,-1229414000.0,-1072053000.0,,534641000.0,28010000.0,-112347000.0,442776000.0,442776000.0
1835,ALGN,445691,USD,2020,FY,2020-12-31,2021-02-26,2023-02-27,78760000.0,79230000.0,2471941000.0,-708706000.0,1763235000.0,-1376064000.0,-1200757000.0,,378949000.0,,1396939000.0,1775888000.0,1775888000.0
1836,ALGN,445691,USD,2021,FY,2021-12-31,2022-02-25,2024-02-28,78904000.0,79516000.0,3952584000.0,-1017229000.0,2935355000.0,-1958955000.0,-1708640000.0,,1012423000.0,,-240403000.0,772020000.0,772020000.0
1837,ALGN,445691,USD,2022,FY,2022-12-31,2023-02-27,2024-02-28,78760000.0,79230000.0,3734635000.0,-1100860000.0,2633775000.0,-1979727000.0,-1674469000.0,,610510000.0,-11453000.0,-237484000.0,361573000.0,361573000.0
1838,ALGN,445691,USD,2023,FY,2023-12-31,2024-02-28,2024-02-28,76426000.0,76568000.0,3862260000.0,-1155397000.0,2706863000.0,-2050209000.0,-1703379000.0,,654520000.0,-13316000.0,-196151000.0,445053000.0,445053000.0
2166,ALLE,69109,USD,2019,FY,2019-12-31,2020-02-18,2022-02-15,93600000.0,94300000.0,2854000000.0,-1601700000.0,1252300000.0,-681300000.0,-681300000.0,,511200000.0,-36000000.0,-73100000.0,402100000.0,401800000.0
2167,ALLE,69109,USD,2020,FY,2020-12-31,2021-02-16,2023-02-22,92300000.0,92800000.0,2719900000.0,-1541100000.0,1178800000.0,-635700000.0,-635700000.0,,505000000.0,-139600000.0,-50900000.0,314500000.0,314300000.0
2168,ALLE,69109,USD,2021,FY,2021-12-31,2022-02-15,2024-02-20,89900000.0,90500000.0,2867400000.0,-1662500000.0,1204900000.0,-674700000.0,-674700000.0,,524000000.0,,-40700000.0,483300000.0,483000000.0
2169,ALLE,69109,USD,2022,FY,2022-12-31,2023-02-22,2024-02-20,88000000.0,88300000.0,3271900000.0,-1949500000.0,1322400000.0,-736000000.0,-736000000.0,,522100000.0,-7600000.0,-56200000.0,458300000.0,458000000.0
2170,ALLE,69109,USD,2023,FY,2023-12-31,2024-02-20,2024-02-20,87900000.0,88300000.0,3650800000.0,-2069300000.0,1581500000.0,-865600000.0,-865600000.0,,624700000.0,-7500000.0,-76600000.0,540600000.0,540400000.0
68,AMAT,67102,USD,2019,FY,2019-10-31,2019-12-13,2021-12-17,937000000.0,945000000.0,14608000000.0,-8222000000.0,6386000000.0,-3036000000.0,-982000000.0,,3269000000.0,,-563000000.0,2706000000.0,2706000000.0
69,AMAT,67102,USD,2020,FY,2020-10-31,2020-12-11,2022-12-16,916000000.0,923000000.0,17202000000.0,-9510000000.0,7692000000.0,-3327000000.0,-1093000000.0,,4166000000.0,,-547000000.0,3619000000.0,3619000000.0
70,AMAT,67102,USD,2021,FY,2021-10-31,2021-12-17,2023-12-15,914000000.0,923000000.0,23063000000.0,-12149000000.0,10914000000.0,-3714000000.0,-1229000000.0,,7082000000.0,-311000000.0,-883000000.0,5888000000.0,5888000000.0
71,AMAT,67102,USD,2022,FY,2022-10-31,2022-12-16,2024-12-13,871000000.0,877000000.0,25785000000.0,-13792000000.0,11993000000.0,-4209000000.0,-1438000000.0,,7595000000.0,4000000.0,-1074000000.0,6525000000.0,6525000000.0
72,AMAT,67102,USD,2023,FY,2023-10-31,2023-12-15,2024-12-13,840000000.0,845000000.0,26517000000.0,-14133000000.0,12384000000.0,-4730000000.0,-1628000000.0,,7716000000.0,,-860000000.0,6856000000.0,6856000000.0
1679,AMCR,6475603,USD,2019,FY,2019-06-30,2019-09-03,2021-08-24,1180000000.0,1184000000.0,9458000000.0,-7659000000.0,1799000000.0,-1063000000.0,-999000000.0,,735000000.0,-131000000.0,-172000000.0,436000000.0,430000000.0
1680,AMCR,6475603,USD,2020,FY,2020-06-30,2020-08-27,2022-08-18,1600000000.0,1602000000.0,12468000000.0,-9932000000.0,2536000000.0,-1482000000.0,-1385000000.0,,940000000.0,-115000000.0,-187000000.0,624000000.0,612000000.0
1681,AMCR,6475603,USD,2021,FY,2021-06-30,2021-08-24,2023-08-17,1551000000.0,1556000000.0,12861000000.0,-10129000000.0,2732000000.0,-1392000000.0,-1292000000.0,,1287000000.0,-94000000.0,-261000000.0,951000000.0,939000000.0
1682,AMCR,6475603,USD,2022,FY,2022-06-30,2022-08-18,2024-08-16,1509000000.0,1516000000.0,14544000000.0,-11724000000.0,2820000000.0,-1380000000.0,-1284000000.0,,1349000000.0,-234000000.0,-300000000.0,815000000.0,805000000.0
